2026-01-19 17:24:24 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 17:24:24 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 17:24:24 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 17:24:24 | INFO     | TyanShanWeight.scale_reader | Подключено к COM3 @ 9600
2026-01-19 17:24:24 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 17:24:24 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:25:26 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 17:25:26 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 17:25:26 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 17:25:26 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 17:25:26 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:25:26 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 17:25:59 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 17:25:59 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 17:25:59 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 17:25:59 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 17:25:59 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:25:59 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 17:25:59 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 17:25:59 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 17:25:59 | INFO     | TyanShanWeight.scale_reader | Подключено к COM3 @ 9600
2026-01-19 17:25:59 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 17:25:59 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:27:41 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 17:27:41 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 17:27:41 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 17:27:41 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 17:27:41 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:27:41 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 17:27:45 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 17:27:45 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 17:27:45 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 17:27:45 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 17:27:45 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:27:45 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 17:27:45 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 17:27:45 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 17:27:45 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 17:27:45 | INFO     | TyanShanWeight.scale_reader | Подключено к COM3 @ 9600
2026-01-19 17:27:45 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:27:48 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 17:27:48 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:27:54 | INFO     | TyanShanWeight.scale_reader | Подключено к COM3 @ 9600
2026-01-19 17:27:54 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:28:50 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 17:28:50 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:28:55 | INFO     | TyanShanWeight.scale_reader | Подключено к COM3 @ 9600
2026-01-19 17:28:55 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:23:38 | ERROR    | TyanShanWeight.scale_reader | Ошибка чтения: ClearCommError failed (OSError(22, 'Неверная функция.', None, 1))
2026-01-19 17:23:39 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:32:10 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 17:32:10 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 17:32:10 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 17:32:10 | INFO     | TyanShanWeight.api_client | API клиент остановлен
